instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
astropy__astropy-12907,0.22533460891108503,0.20961391437308863,0.0,1246,470,1415,astropy/astropy
astropy__astropy-13033,0.41011878982862093,0.45260355858590584,0.0,2790,1486,910,astropy/astropy
astropy__astropy-13236,0.37378030886614577,0.3164156110920917,0.0,2057,853,3866,astropy/astropy
astropy__astropy-13398,0.30365974885696323,0.2298638798276349,0.0,5323,13884,7533,astropy/astropy
astropy__astropy-13453,0.4060761885610227,0.373232104121475,0.0,7910,512,1286,astropy/astropy
astropy__astropy-13579,0.3365599462563498,0.3098732297852902,0.0,4822,1023,1330,astropy/astropy
astropy__astropy-13977,0.3864824488001961,0.382377005204142,0.0,3762,5777,5645,astropy/astropy
astropy__astropy-14096,0.15020423782879488,0.2213620794582969,0.0,982,728,1001,astropy/astropy
astropy__astropy-14182,0.3617866849603273,0.3404574970484062,0.0,1871,2186,1311,astropy/astropy
astropy__astropy-14309,0.48699164083779456,0.25117855038302883,1.0,4910,592,895,astropy/astropy
astropy__astropy-14365,0.38804354473732494,0.40487347703842547,0.0,1339,955,1194,astropy/astropy
astropy__astropy-14369,0.3550576112897792,0.3518526475601198,0.0,2597,12099,1100,astropy/astropy
astropy__astropy-14508,0.46696240228316177,0.32847395771351495,0.0,2629,1517,1236,astropy/astropy
astropy__astropy-14539,0.3136861635704613,0.33947425399574827,0.0,1463,481,3599,astropy/astropy
astropy__astropy-14598,0.4456805832588211,0.4076775242694526,0.0,2651,963,1044,astropy/astropy
astropy__astropy-14995,0.4420380144894369,0.40698294243070365,1.0,2455,869,1900,astropy/astropy
astropy__astropy-7166,0.44362781430014375,0.31181742392663625,1.0,162,1165,822,astropy/astropy
astropy__astropy-7336,0.517729502452698,0.5024686370879059,1.0,1572,709,11922,astropy/astropy
astropy__astropy-7606,0.47898255510289345,0.41509325681492104,1.0,1052,1062,545,astropy/astropy
astropy__astropy-7671,0.5151175119279023,0.4159203980099504,1.0,1916,910,599,astropy/astropy
astropy__astropy-8707,0.354589935280186,0.3637900514697816,0.0,840,5131,1407,astropy/astropy
astropy__astropy-8872,0.40977654469106173,0.160100084578517,0.0,887,1674,963,astropy/astropy
django__django-10097,,,0.0,2656,562,1261,django/django
django__django-10554,0.42692719486081354,0.3362880400649262,0.0,2909,1554,1795,django/django
django__django-10880,0.3999162119827757,0.3818877742887765,0.0,278,609,994,django/django
django__django-10914,0.31976436928235596,0.3428788849727651,1.0,1021,582,591,django/django
django__django-10973,0.15403065827362394,0.1846607760910719,0.0,357,2434,4184,django/django
django__django-10999,0.35776224178606375,0.3277388417558096,0.0,616,520,943,django/django
django__django-11066,0.31031919887341575,0.2879409612876547,1.0,1867,746,2136,django/django
django__django-11087,0.23717067088668298,0.23119026345003113,0.0,9252,3186,2661,django/django
django__django-11095,0.3368626963919765,0.3964331210191083,0.0,381,945,1594,django/django
django__django-11099,0.3083512729166269,0.30602419387466107,1.0,764,808,989,django/django
django__django-11119,0.35754317810659675,0.3239455217686562,1.0,369,492,555,django/django
django__django-11133,0.40763873374195003,0.26918936376359137,1.0,895,581,552,django/django
django__django-11138,0.3027089092531725,0.3659490343014471,0.0,3135,7548,4013,django/django
django__django-11141,0.24326351535327695,0.36518110499081957,0.0,829,1519,1504,django/django
django__django-11149,0.33936284542132755,0.3128316285402075,0.0,783,4267,5333,django/django
django__django-11163,0.4178409525370037,0.3694874127995147,1.0,408,534,814,django/django
django__django-11179,0.37338131395549756,0.37394944331326085,0.0,283,579,986,django/django
django__django-11206,0.22184164805162565,0.3461103161564236,0.0,698,831,599,django/django
django__django-11211,0.38464823306007134,0.3436082001340812,0.0,959,527,2633,django/django
django__django-11239,0.27081571559043405,0.2942937253713247,0.0,1056,1270,3029,django/django
django__django-11265,0.4026683642940374,0.374040188751245,0.0,3810,1668,674,django/django
django__django-11276,0.44752644453104096,0.37461903572320754,1.0,1120,2760,19182,django/django
django__django-11292,0.2503892759901527,0.2867741935483872,0.0,401,1713,802,django/django
django__django-11299,0.33659614591155584,0.35338071508319047,0.0,3040,666,2870,django/django
django__django-11333,0.2991746999130749,0.2705609039229835,0.0,1493,1236,1109,django/django
