instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
astropy__astropy-12907,0.22533460891108503,0.20961391437308863,0.0,1246,470,1415,astropy/astropy
astropy__astropy-14182,0.3617866849603273,0.3404574970484062,0.0,1871,2186,1311,astropy/astropy
astropy__astropy-14365,0.38804354473732494,0.40487347703842547,0.0,1339,955,1194,astropy/astropy
astropy__astropy-14995,0.4420380144894369,0.40698294243070365,1.0,2455,869,1900,astropy/astropy
astropy__astropy-6938,0.4215951993505258,0.41217559459264086,0.0,527,493,1762,astropy/astropy
astropy__astropy-7746,0.36020982182512906,0.40247795296324185,0.0,2053,861,852,astropy/astropy
django__django-10914,0.31976436928235596,0.3428788849727651,1.0,1021,582,591,django/django
django__django-10924,0.3418500401753619,0.29755806710315036,0.0,822,530,841,django/django
django__django-11001,0.3508394730664355,0.32069024922476164,0.0,2220,615,1140,django/django
django__django-11019,0.43470304266888227,0.32074353124812394,0.0,1801,4929,14363,django/django
django__django-11039,0.09053117912297126,0.09736856584087361,1.0,879,793,4002,django/django
django__django-11049,0.21269896485132578,0.24899937563668617,0.0,706,530,529,django/django
django__django-11099,0.3083512729166269,0.30602419387466107,1.0,764,808,989,django/django
django__django-11133,0.40763873374195003,0.26918936376359137,1.0,895,581,552,django/django
django__django-11179,0.37338131395549756,0.37394944331326085,0.0,283,579,986,django/django
django__django-11283,0.3908158917825,0.4000236071765817,0.0,1193,2360,1751,django/django
django__django-11422,0.3392426296361337,0.3919563680544915,0.0,669,1097,589,django/django
django__django-11564,0.3346527490355655,0.3263710654150034,0.0,928,1904,3161,django/django
django__django-11583,0.31905956504660216,0.28219843521623256,1.0,4665,613,874,django/django
django__django-11620,0.2499966019285511,0.38926038815625774,0.0,890,906,1370,django/django
django__django-11630,0.257490333506035,0.30199092901241076,0.0,660,1753,3381,django/django
django__django-11742,0.3856544053335973,0.23589866156787753,0.0,328,1880,1520,django/django
django__django-11797,0.3519718748637375,0.3536872736474197,0.0,756,780,1007,django/django
django__django-11815,0.4269597354600272,0.44590282813633064,0.0,1601,739,4548,django/django
django__django-11848,0.36707347222590747,0.2638346592634102,0.0,626,869,2236,django/django
django__django-11905,0.3292772415405041,0.3546507546507547,0.0,409,1245,2296,django/django
django__django-11910,0.4266909944344177,0.41290825726488567,0.0,1172,942,1594,django/django
django__django-11964,0.42308268424206097,0.3801213694401573,0.0,2353,559,605,django/django
django__django-11999,0.3406541057367829,0.3898397429875815,0.0,512,870,730,django/django
django__django-12113,0.5075066618690778,0.2526195878502666,0.0,4774,472,867,django/django
django__django-12125,0.3667900352790945,0.30331331999110533,0.0,1589,546,2076,django/django
django__django-12184,0.3142822737111681,0.39023324888617106,0.0,977,685,1534,django/django
django__django-12284,0.38380280856303894,0.309241542734606,0.0,880,962,888,django/django
django__django-12286,0.30868142295551815,0.21065922381711855,1.0,741,919,2070,django/django
django__django-12308,0.431105788889538,0.4118032003047136,0.0,459,684,1230,django/django
django__django-12453,0.1641692512184314,0.16761397548321932,1.0,2906,1395,1878,django/django
