model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,mass_like,lambda_like
3d_scalar_phi4_metropolis,integer_proxy,4,m6.000_lam1.000,binder,0.0524442339,0.0975422715,4.0842360833,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m6.000_lam1.000,xi_over_L,0.2057457939,0.0301550077,4.0842360833,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m6.000_lam1.000,susceptibility,1.0664735043,0.1291600803,4.0842360833,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m6.000_lam1.000,magnetization_abs,0.1019802546,0.0207353602,4.0842360833,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m6.000_lam1.000,acceptance_rate,0.5240885417,0.0056189808,0.5000000000,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m8.000_lam1.000,binder,0.0592996993,0.0802323629,2.3662486266,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m8.000_lam1.000,xi_over_L,0.1273614181,0.0345803529,2.3662486266,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m8.000_lam1.000,susceptibility,0.3584913706,0.0432900879,2.3662486266,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m8.000_lam1.000,magnetization_abs,0.0594254008,0.0090732329,2.3662486266,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,4,m8.000_lam1.000,acceptance_rate,0.4854166667,0.0061896463,0.5000000000,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m6.000_lam1.000,binder,0.3555675933,0.0493550218,5.6275093691,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m6.000_lam1.000,xi_over_L,0.5096517194,0.0338489145,5.6275093691,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m6.000_lam1.000,susceptibility,4.1292644499,0.3500799737,5.6275093691,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m6.000_lam1.000,magnetization_abs,0.1200604998,0.0210892593,5.6275093691,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m6.000_lam1.000,acceptance_rate,0.5182098765,0.0027962679,0.5000000000,31,6.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m8.000_lam1.000,binder,0.0865241531,0.0964022113,4.3024275089,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m8.000_lam1.000,xi_over_L,0.1265679745,0.0255277034,4.3024275089,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m8.000_lam1.000,susceptibility,0.3361725343,0.0406043033,4.3024275089,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m8.000_lam1.000,magnetization_abs,0.0313045920,0.0064558222,4.3024275089,31,8.000000,1.000000
3d_scalar_phi4_metropolis,integer_proxy,6,m8.000_lam1.000,acceptance_rate,0.4797067901,0.0034094196,0.5000000000,31,8.000000,1.000000
