model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.050_lam1.050,binder,0.6607011371,0.0005769227,0.6386761857,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.050_lam1.050,xi_over_L,0.1008306057,0.0243292003,0.6386761857,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.050_lam1.050,susceptibility,0.3182545890,0.0301896012,0.6386761857,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.050_lam1.050,magnetization_abs,1.3968581180,0.0068737304,0.6386761857,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.050_lam1.050,acceptance_rate,0.5355497685,0.0013958877,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.050_lam1.050,binder,0.6629185930,0.0003519962,0.5834890726,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.050_lam1.050,xi_over_L,0.0966925967,0.0239136474,0.5834890726,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.050_lam1.050,susceptibility,0.3477670643,0.0344595416,0.5834890726,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.050_lam1.050,magnetization_abs,1.3861745693,0.0051509419,0.5834890726,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.050_lam1.050,acceptance_rate,0.5238476562,0.0010021667,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.050_lam1.050,binder,0.6642659748,0.0001905315,0.8584164073,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.050_lam1.050,xi_over_L,0.0793412891,0.0235867755,0.8584164073,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.050_lam1.050,susceptibility,0.3498782507,0.0305007237,0.8584164073,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.050_lam1.050,magnetization_abs,1.3925594497,0.0050132981,0.8584164073,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.050_lam1.050,acceptance_rate,0.5166083333,0.0008491236,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.050_lam1.050,binder,0.6650101695,0.0001402920,0.8161911609,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.050_lam1.050,xi_over_L,0.0542338434,0.0291659230,0.8161911609,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.050_lam1.050,susceptibility,0.3498782087,0.0286222686,0.8161911609,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.050_lam1.050,magnetization_abs,1.3929900573,0.0040737014,0.8161911609,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.050_lam1.050,acceptance_rate,0.5161747685,0.0006617498,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.050000,1.050000,per_n,path,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
