formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,susceptibility_values
2.780000,"4,6,8",0.500000,1.000000,0.000000,t_projected_direct,0.1231281561,0.0320000000,,out_of_anchor_band,0.0911281561,0.0160000000,,out_of_anchor_band,29.2240065550|63.8181145475|107.6790785580
2.780000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,0.1336766193,0.0320000000,,out_of_anchor_band,0.1016766193,0.0160000000,,out_of_anchor_band,23.9184589405|54.8052098976|75.1848169474
2.780000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,0.1375756423,0.0320000000,,out_of_anchor_band,0.1055756423,0.0160000000,,out_of_anchor_band,18.8105558165|38.7845098953|67.6285416224
2.780000,"4,6,8",0.500000,0.500000,0.000000,t_projected_direct,0.2028459028,0.0320000000,,out_of_anchor_band,0.1708459028,0.0160000000,,out_of_anchor_band,68.6677848771|144.0601277359|238.8864490695
2.780000,"4,6,8",1.500000,0.250000,0.000000,t_projected_direct,0.2160106883,0.0320000000,,out_of_anchor_band,0.1840106883,0.0160000000,,out_of_anchor_band,90.0962470488|191.9936928200|315.4311314831
2.780000,"4,6,8",1.500000,0.500000,0.000000,t_projected_direct,0.2231043345,0.0320000000,,out_of_anchor_band,0.1911043345,0.0160000000,,out_of_anchor_band,42.3251125823|88.2059352238|69.7704227154
2.780000,"4,6,8",0.500000,0.250000,0.000000,t_projected_direct,0.2392574037,0.0320000000,,out_of_anchor_band,0.2072574037,0.0160000000,,out_of_anchor_band,142.5426862354|277.1892405171|481.4892063154
2.780000,"4,6,8",0.500000,2.000000,0.000000,t_projected_direct,0.2671608385,0.0320000000,,out_of_anchor_band,0.2351608385,0.0160000000,,out_of_anchor_band,13.9300139810|25.4570881341|45.7926274378
2.780000,"4,6,8",1.000000,0.250000,0.000000,t_projected_direct,0.2735227999,0.0320000000,,out_of_anchor_band,0.2415227999,0.0160000000,,out_of_anchor_band,118.2822294456|240.3301604612|391.2726064240
2.780000,"4,6,8",2.000000,0.250000,0.000000,t_projected_direct,0.2863763490,0.0320000000,,out_of_anchor_band,0.2543763490,0.0160000000,,out_of_anchor_band,68.5494901976|140.2617255710|205.2462219948
2.780000,"4,6,8",2.500000,0.500000,0.000000,t_projected_direct,0.2930653586,0.0320000000,,out_of_anchor_band,0.2610653586,0.0160000000,,out_of_anchor_band,14.0368244575|37.0291391374|52.8551777215
2.780000,"4,6,8",1.000000,0.500000,0.000000,t_projected_direct,0.3098129283,0.0320000000,,out_of_anchor_band,0.2778129283,0.0160000000,,out_of_anchor_band,57.8176486023|116.1827393761|180.1325782476
2.780000,"4,6,8",2.500000,0.250000,0.000000,t_projected_direct,0.4069242672,0.0320000000,,out_of_anchor_band,0.3749242672,0.0160000000,,out_of_anchor_band,41.8726832552|82.2943318370|125.7992711442
2.780000,"4,6,8",2.000000,0.500000,0.000000,t_projected_direct,0.4642669164,0.0320000000,,out_of_anchor_band,0.4322669164,0.0160000000,,out_of_anchor_band,32.4809357970|64.0673612121|94.5867134888
2.780000,"4,6,8",5.000000,0.500000,0.000000,t_projected_direct,0.5208981309,0.0320000000,,out_of_anchor_band,0.4888981309,0.0160000000,,out_of_anchor_band,0.2284347298|0.6269143666|0.6253014377
2.780000,"4,6,8",1.000000,2.000000,0.000000,t_projected_direct,0.5282098419,0.0320000000,,out_of_anchor_band,0.4962098419,0.0160000000,,out_of_anchor_band,8.8349718400|18.0344329035|22.7510628421
2.780000,"4,6,8",2.000000,2.000000,0.000000,t_projected_direct,0.9214985151,0.0320000000,,out_of_anchor_band,0.8894985151,0.0160000000,,out_of_anchor_band,1.1152822889|1.5981451963|2.3866801236
2.780000,"4,6,8",2.000000,1.000000,0.000000,t_projected_direct,0.9479599907,0.0320000000,,out_of_anchor_band,0.9159599907,0.0160000000,,out_of_anchor_band,9.4656291643|26.4417030545|19.3584696173
2.780000,"4,6,8",3.000000,0.250000,0.000000,t_projected_direct,0.9519628308,0.0320000000,,out_of_anchor_band,0.9199628308,0.0160000000,,out_of_anchor_band,20.0981437350|44.0809705324|31.2533798581
2.780000,"4,6,8",4.000000,0.250000,0.000000,t_projected_direct,1.0405590030,0.0320000000,,out_of_anchor_band,1.0085590030,0.0160000000,,out_of_anchor_band,0.4916026963|1.6775304085|0.8519027631
2.780000,"4,6,8",3.000000,2.000000,0.000000,t_projected_direct,1.1951347968,0.0320000000,,out_of_anchor_band,1.1631347968,0.0160000000,,out_of_anchor_band,0.5163642298|0.4849771605|0.9145241102
2.780000,"4,6,8",1.500000,2.000000,0.000000,t_projected_direct,1.4703282411,0.0320000000,,out_of_anchor_band,1.4383282411,0.0160000000,,out_of_anchor_band,4.2761900354|7.8536310173|3.9233628294
2.780000,"4,6,8",10.000000,1.000000,0.000000,t_projected_direct,1.4772454613,0.0320000000,,out_of_anchor_band,1.4452454613,0.0160000000,,out_of_anchor_band,0.0787517648|0.1004398756|0.1120590049
2.780000,"4,6,8",6.000000,0.250000,0.000000,t_projected_direct,1.6254922326,0.0320000000,,out_of_anchor_band,1.5934922326,0.0160000000,,out_of_anchor_band,0.1871540889|0.4222220643|0.2082037087
2.780000,"4,6,8",5.000000,1.000000,0.000000,t_projected_direct,1.7902095833,0.0320000000,,out_of_anchor_band,1.7582095833,0.0160000000,,out_of_anchor_band,0.2891375397|0.4172783887|0.2752271487
2.780000,"4,6,8",8.000000,0.500000,0.000000,t_projected_direct,1.8460943532,0.0320000000,,out_of_anchor_band,1.8140943532,0.0160000000,,out_of_anchor_band,0.1322469520|0.1964820915|0.1237237985
2.780000,"4,6,8",6.000000,1.000000,0.000000,t_projected_direct,1.8768699673,0.0320000000,,out_of_anchor_band,1.8448699673,0.0160000000,,out_of_anchor_band,0.1839523846|0.2210026698|0.1985230563
2.780000,"4,6,8",4.000000,2.000000,0.000000,t_projected_direct,1.9601816728,0.0320000000,,out_of_anchor_band,1.9281816728,0.0160000000,,out_of_anchor_band,0.3432376963|0.3188892630|0.3505112168
2.780000,"4,6,8",5.000000,0.250000,0.000000,t_projected_direct,2.0402411249,0.0320000000,,out_of_anchor_band,2.0082411249,0.0160000000,,out_of_anchor_band,0.5307287147|0.5951000124|0.4721260631
2.780000,"4,6,8",2.500000,2.000000,0.000000,t_projected_direct,2.0856620988,0.0320000000,,out_of_anchor_band,2.0536620988,0.0160000000,,out_of_anchor_band,1.2735579635|0.6615813033|1.3420225812
2.780000,"4,6,8",10.000000,0.500000,0.000000,t_projected_direct,2.1832332516,0.0320000000,,out_of_anchor_band,2.1512332516,0.0160000000,,out_of_anchor_band,0.1135071300|0.1782794274|0.0945698937
2.780000,"4,6,8",10.000000,0.250000,0.000000,t_projected_direct,2.3183044535,0.0320000000,,out_of_anchor_band,2.2863044535,0.0160000000,,out_of_anchor_band,0.1512814787|0.1029585965|0.1289963707
2.780000,"4,6,8",6.000000,0.500000,0.000000,t_projected_direct,2.3899589259,0.0320000000,,out_of_anchor_band,2.3579589259,0.0160000000,,out_of_anchor_band,0.2539297067|0.2665702798|0.1985890190
2.780000,"4,6,8",10.000000,2.000000,0.000000,t_projected_direct,2.4176800839,0.0320000000,,out_of_anchor_band,2.3856800839,0.0160000000,,out_of_anchor_band,0.1112210572|0.0681282360|0.1023486451
2.780000,"4,6,8",5.000000,2.000000,0.000000,t_projected_direct,2.4622203932,0.0320000000,,out_of_anchor_band,2.4302203932,0.0160000000,,out_of_anchor_band,0.2829854709|0.1661427581|0.2138116325
2.780000,"4,6,8",8.000000,2.000000,0.000000,t_projected_direct,2.4627914435,0.0320000000,,out_of_anchor_band,2.4307914435,0.0160000000,,out_of_anchor_band,0.1846695306|0.0893879987|0.1654263285
2.780000,"4,6,8",4.000000,1.000000,0.000000,t_projected_direct,2.4960634822,0.0320000000,,out_of_anchor_band,2.4640634822,0.0160000000,,out_of_anchor_band,0.6384849431|0.6609721616|0.4371386278
2.780000,"4,6,8",8.000000,1.000000,0.000000,t_projected_direct,2.7534130416,0.0320000000,,out_of_anchor_band,2.7214130416,0.0160000000,,out_of_anchor_band,0.1807986140|0.1143542283|0.1102661734
2.780000,"4,6,8",6.000000,2.000000,0.000000,t_projected_direct,2.9994346226,0.0320000000,,out_of_anchor_band,2.9674346226,0.0160000000,,out_of_anchor_band,0.1883846071|0.1262273342|0.0939519953
2.780000,"4,6,8",4.000000,0.500000,0.000000,t_projected_direct,3.2079043342,0.0320000000,,out_of_anchor_band,3.1759043342,0.0160000000,,out_of_anchor_band,0.7616409911|0.5205119873|0.3063040399
2.780000,"4,6,8",8.000000,0.250000,0.000000,t_projected_direct,3.2460738567,0.0320000000,,out_of_anchor_band,3.2140738567,0.0160000000,,out_of_anchor_band,0.2241531894|0.1636303025|0.0984695992
2.780000,"4,6,8",2.500000,1.000000,0.000000,t_projected_direct,3.6026040876,0.0320000000,,out_of_anchor_band,3.5706040876,0.0160000000,,out_of_anchor_band,4.7354635060|3.6145474092|1.4249928245
2.780000,"4,6,8",3.000000,1.000000,0.000000,t_projected_direct,3.7904644673,0.0320000000,,out_of_anchor_band,3.7584644673,0.0160000000,,out_of_anchor_band,3.1091790408|1.7507721233|0.8700598334
2.780000,"4,6,8",3.000000,0.500000,0.000000,t_projected_direct,4.1604008558,0.0320000000,,out_of_anchor_band,4.1284008558,0.0160000000,,out_of_anchor_band,8.8619882322|2.4358143053|2.1337785546
