formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.900000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,-0.0011638391,0.0250000000,,non_physical_eta_proxy,0.0261638391,0.0150000000,,non_physical_eta_proxy,0.0000000000|0.0588384418|0.1256622777,True,0.1255700709|0.1552374752|2.9518425104
2.700000,"4,6,8",1.000000,0.500000,0.000000,t_projected_direct,0.1868080737,0.0370000000,,out_of_anchor_band,0.1498080737,0.0160000000,,out_of_anchor_band,0.0750265483|0.0878290484|0.1997897292,True,0.1990246384|0.2421301540|2.7151693228
2.780000,"4,6,8",0.400000,1.000000,0.000000,t_projected_direct,0.2589434557,0.0320000000,,out_of_anchor_band,0.2269434557,0.0160000000,,out_of_anchor_band,0.0886986547|0.0905088700|0.1714018490,True,0.1529049609|0.1901393209|1.9134580089
2.780000,"4,6,8",1.000000,0.750000,0.000000,t_projected_direct,0.3020557112,0.0320000000,,out_of_anchor_band,0.2700557112,0.0160000000,,out_of_anchor_band,0.0000000000|0.1180013673|0.1301595096,True,0.1890227757|0.2719846563|2.1938465944
3.000000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,-0.2548459541,0.0190000000,,non_physical_eta_proxy,0.2738459541,0.0130000000,,non_physical_eta_proxy,0.0197227750|0.0685031810|0.1778491191,True,0.1106570774|0.1953918270|3.1913598051
2.680000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,0.3643761473,0.0380000000,,out_of_anchor_band,0.3263761473,0.0160000000,,out_of_anchor_band,0.2008846248|0.1038511162|0.1144358656,True,0.4141372989|0.4115336789|2.1602774954
3.000000,"4,6,8",1.500000,0.500000,0.000000,t_projected_direct,0.4332563624,0.0190000000,,out_of_anchor_band,0.4142563624,0.0130000000,,out_of_anchor_band,0.0000000000|0.1729587036|0.1214458907,True,0.1910862801|0.4046028557|0.4740045396
2.680000,"4,6,8",1.250000,1.000000,0.000000,t_projected_direct,-0.4918852857,0.0380000000,,non_physical_eta_proxy,0.5298852857,0.0160000000,,non_physical_eta_proxy,0.0000000000|0.0000000000|0.0794415699,True,0.3580124072|0.1432936924|1.9655385663
3.000000,"4,6,8",1.250000,1.000000,0.000000,t_projected_direct,0.5527504251,0.0190000000,,out_of_anchor_band,0.5337504251,0.0130000000,,out_of_anchor_band,0.1537796729|0.0000000000|0.1248192635,True,0.2212185475|0.1774055054|1.7035098755
2.680000,"4,6,8",1.250000,0.500000,0.000000,t_projected_direct,-0.6934531492,0.0380000000,,non_physical_eta_proxy,0.7314531492,0.0160000000,,non_physical_eta_proxy,0.0000000000|0.0296712476|0.1527430748,True,0.2116861882|0.2666664294|2.6741671330
2.700000,"4,6,8",1.250000,1.000000,0.000000,t_projected_direct,0.7693900698,0.0370000000,,out_of_anchor_band,0.7323900698,0.0160000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0851859321,True,0.2248541549|0.3684073135|0.5280124350
