formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,susceptibility_values
2.780000,"4,6,8",1.250000,0.750000,0.000000,t_projected_direct,0.0721645844,0.0320000000,,out_of_anchor_band,0.0401645844,0.0160000000,,out_of_anchor_band,28.4994303514|65.5695810781|87.6378860341
2.780000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,0.0744954739,0.0320000000,,out_of_anchor_band,0.0424954739,0.0160000000,,out_of_anchor_band,25.2301611963|47.7715779700|92.5977451492
2.780000,"4,6,8",0.050000,1.000000,0.000000,t_projected_direct,0.1209557294,0.0320000000,,out_of_anchor_band,0.0889557294,0.0160000000,,out_of_anchor_band,36.6511344207|79.4950937705|42.6097374595
2.780000,"4,6,8",0.500000,1.000000,0.000000,t_projected_direct,0.1231281561,0.0320000000,,out_of_anchor_band,0.0911281561,0.0160000000,,out_of_anchor_band,29.2240065550|63.8181145475|107.6790785580
2.780000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,0.1336766193,0.0320000000,,out_of_anchor_band,0.1016766193,0.0160000000,,out_of_anchor_band,23.9184589405|54.8052098976|75.1848169474
2.780000,"4,6,8",1.500000,1.000000,0.000000,t_projected_direct,0.1375756423,0.0320000000,,out_of_anchor_band,0.1055756423,0.0160000000,,out_of_anchor_band,18.8105558165|38.7845098953|67.6285416224
2.780000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,0.1710424470,0.0320000000,,out_of_anchor_band,0.1390424470,0.0160000000,,out_of_anchor_band,44.8664122432|89.5434141506|157.5007913895
2.780000,"4,6,8",1.250000,1.500000,0.000000,t_projected_direct,0.1726720127,0.0320000000,,out_of_anchor_band,0.1406720127,0.0160000000,,out_of_anchor_band,10.1763120087|20.8861408031|35.8283011110
2.780000,"4,6,8",0.100000,1.500000,0.000000,t_projected_direct,0.1762995019,0.0320000000,,out_of_anchor_band,0.1442995019,0.0160000000,,out_of_anchor_band,21.8026137880|47.6075758482|78.0776994604
2.780000,"4,6,8",0.500000,0.750000,0.000000,t_projected_direct,0.1798613013,0.0320000000,,out_of_anchor_band,0.1478613013,0.0160000000,,out_of_anchor_band,45.5344331057|86.9467926348|156.1791682549
2.780000,"4,6,8",0.500000,1.500000,0.000000,t_projected_direct,0.1880787436,0.0320000000,,out_of_anchor_band,0.1560787436,0.0160000000,,out_of_anchor_band,18.1222325922|37.0022735444|63.4492429077
2.780000,"4,6,8",0.050000,1.250000,0.000000,t_projected_direct,0.1899870825,0.0320000000,,out_of_anchor_band,0.1579870825,0.0160000000,,out_of_anchor_band,27.8939466011|60.6030290275|99.3313204479
