formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.900000,"4,6,8",0.380000,0.450000,0.000000,t_projected_direct,-0.1369659165,0.0250000000,,non_physical_eta_proxy,0.1619659165,0.0150000000,,non_physical_eta_proxy,0.0000000000|0.0432246034|0.0000000000,True,0.1158309782|0.1585696108|0.5337911799
2.900000,"4,6,8",0.430000,0.600000,0.000000,t_projected_direct,0.2561044029,0.0250000000,,out_of_anchor_band,0.2311044029,0.0150000000,,out_of_anchor_band,0.1020712737|0.0517782208|0.0000000000,True,0.1557280148|0.1525640747|0.7879274941
2.900000,"4,6,8",0.420000,0.450000,0.000000,t_projected_direct,0.3932373680,0.0250000000,,out_of_anchor_band,0.3682373680,0.0150000000,,out_of_anchor_band,0.0514921188|0.0000000000|0.0000000000,True,0.1308558440|0.1227603271|0.5891036632
2.900000,"4,6,8",0.430000,0.500000,0.000000,t_projected_direct,0.4433413181,0.0250000000,,out_of_anchor_band,0.4183413181,0.0150000000,,out_of_anchor_band,0.0499588401|0.0593189467|0.0000000000,True,0.1179152980|0.1419015819|0.3605794210
2.900000,"4,6,8",0.380000,0.550000,0.000000,t_projected_direct,0.6816744452,0.0250000000,,out_of_anchor_band,0.6566744452,0.0150000000,,out_of_anchor_band,0.0754910540|0.0828034559|0.1666292375,True,0.1307666993|0.1942715918|0.4861855770
2.900000,"4,6,8",0.460000,0.500000,0.000000,t_projected_direct,1.1318665969,0.0250000000,,out_of_anchor_band,1.1068665969,0.0150000000,,out_of_anchor_band,0.0520549680|0.0555141185|0.1096791690,True,0.1253456859|0.1518300240|0.4297144488
2.900000,"4,6,8",0.430000,0.450000,0.000000,t_projected_direct,-1.1134431800,0.0250000000,,non_physical_eta_proxy,1.1384431800,0.0150000000,,non_physical_eta_proxy,0.0000000000|0.0000000000|0.0000000000,True,0.1120619025|0.1265177088|1.0793016482
2.900000,"4,6,8",0.400000,0.600000,0.000000,t_projected_direct,1.2228868328,0.0250000000,,out_of_anchor_band,1.1978868328,0.0150000000,,out_of_anchor_band,0.0000000000|0.1143684905|0.0602999010,True,0.1155963071|0.2261837476|0.1631330114
2.900000,"4,6,8",0.410000,0.600000,0.000000,t_projected_direct,1.2686520358,0.0250000000,,out_of_anchor_band,1.2436520358,0.0150000000,,out_of_anchor_band,0.0000000000|0.0232411105|0.0281795333,True,0.1000346424|0.1583034034|0.1582949083
2.900000,"4,6,8",0.420000,0.500000,0.000000,t_projected_direct,1.3327097271,0.0250000000,,out_of_anchor_band,1.3077097271,0.0150000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0615621992,True,0.1012838564|0.0991718174|0.1761521723
2.900000,"4,6,8",0.400000,0.450000,0.000000,t_projected_direct,1.4089364119,0.0250000000,,out_of_anchor_band,1.3839364119,0.0150000000,,out_of_anchor_band,0.0765800888|0.1451392148|0.1163010524,True,0.1431598663|0.2135033924|0.2046523145
2.900000,"4,6,8",0.390000,0.500000,0.000000,t_projected_direct,1.4692847561,0.0250000000,,out_of_anchor_band,1.4442847561,0.0150000000,,out_of_anchor_band,0.0318807482|0.0332287772|0.0391034653,True,0.1170729647|0.1556458539|0.1684117665
2.900000,"4,6,8",0.410000,0.500000,0.000000,t_projected_direct,1.5234441245,0.0250000000,,out_of_anchor_band,1.4984441245,0.0150000000,,out_of_anchor_band,0.0756280441|0.2233576720|0.0000000000,True,0.1295804405|0.8255401480|0.1675872205
2.900000,"4,6,8",0.390000,0.600000,0.000000,t_projected_direct,1.5491301570,0.0250000000,,out_of_anchor_band,1.5241301570,0.0150000000,,out_of_anchor_band,0.0000000000|0.0645158926|0.0662652175,True,0.1338253076|0.1633341851|0.1830084658
2.900000,"4,6,8",0.450000,0.600000,0.000000,t_projected_direct,1.5630945299,0.0250000000,,out_of_anchor_band,1.5380945299,0.0150000000,,out_of_anchor_band,0.0000000000|0.0719843691|0.0000000000,True,0.1122965873|0.1432147719|0.1529769016
2.900000,"4,6,8",0.410000,0.550000,0.000000,t_projected_direct,1.6086748227,0.0250000000,,out_of_anchor_band,1.5836748227,0.0150000000,,out_of_anchor_band,0.0000000000|0.0663865024|0.0550137505,True,0.1286005779|0.1525655290|0.1682226833
2.900000,"4,6,8",0.420000,0.600000,0.000000,t_projected_direct,1.6335145818,0.0250000000,,out_of_anchor_band,1.6085145818,0.0150000000,,out_of_anchor_band,0.1136320814|0.0000000000|0.0982149929,True,0.1728780494|0.1075905507|0.2314003868
2.900000,"4,6,8",0.440000,0.450000,0.000000,t_projected_direct,-1.6579752290,0.0250000000,,non_physical_eta_proxy,1.6829752290,0.0150000000,,non_physical_eta_proxy,0.1536000575|0.0000000000|0.0000000000,True,0.1693880952|0.1289752737|1.9939973824
