formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,susceptibility_values
2.780000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,0.0909263812,0.0320000000,,out_of_anchor_band,0.0589263812,0.0160000000,,out_of_anchor_band,25.7532257391|51.8452216744|93.7140313233
2.780000,"4,6,8",1.250000,0.650000,0.000000,t_projected_direct,0.0929834928,0.0320000000,,out_of_anchor_band,0.0609834928,0.0160000000,,out_of_anchor_band,34.3466045200|75.0698887205|128.9984547870
2.780000,"4,6,8",1.250000,0.750000,0.000000,t_projected_direct,0.0933842563,0.0320000000,,out_of_anchor_band,0.0613842563,0.0160000000,,out_of_anchor_band,28.4690397061|66.4500699499|98.2614814914
2.780000,"4,6,8",1.350000,0.800000,0.000000,t_projected_direct,0.1108815848,0.0320000000,,out_of_anchor_band,0.0788815848,0.0160000000,,out_of_anchor_band,25.0246267434|56.6930289420|89.4862276191
2.780000,"4,6,8",1.500000,0.800000,0.000000,t_projected_direct,0.1257662451,0.0320000000,,out_of_anchor_band,0.0937662451,0.0160000000,,out_of_anchor_band,23.4949193324|49.1505598081|85.2196183566
2.780000,"4,6,8",1.500000,0.850000,0.000000,t_projected_direct,0.1278759146,0.0320000000,,out_of_anchor_band,0.0958759146,0.0160000000,,out_of_anchor_band,21.1787341964|48.5540726547|79.6615981815
2.780000,"4,6,8",1.500000,0.650000,0.000000,t_projected_direct,0.1380519631,0.0320000000,,out_of_anchor_band,0.1060519631,0.0160000000,,out_of_anchor_band,31.0243541872|65.3437310289|112.6197922510
2.780000,"4,6,8",1.250000,0.850000,0.000000,t_projected_direct,0.1598338972,0.0320000000,,out_of_anchor_band,0.1278338972,0.0160000000,,out_of_anchor_band,25.3636603776|54.1839725164|90.9181487832
2.780000,"4,6,8",1.400000,0.650000,0.000000,t_projected_direct,0.1661602657,0.0320000000,,out_of_anchor_band,0.1341602657,0.0160000000,,out_of_anchor_band,31.9412028292|69.7823754268|114.9799746724
2.780000,"4,6,8",1.100000,0.750000,0.000000,t_projected_direct,0.1691913877,0.0320000000,,out_of_anchor_band,0.1371913877,0.0160000000,,out_of_anchor_band,33.3576515022|66.9569746820|116.9274069449
2.780000,"4,6,8",1.450000,0.700000,0.000000,t_projected_direct,0.1709242031,0.0320000000,,out_of_anchor_band,0.1389242031,0.0160000000,,out_of_anchor_band,26.5844913899|63.5718351601|100.5528674676
2.780000,"4,6,8",1.200000,0.850000,0.000000,t_projected_direct,0.1731856124,0.0320000000,,out_of_anchor_band,0.1411856124,0.0160000000,,out_of_anchor_band,28.3694759567|55.3728135498|97.8361726569
2.780000,"4,6,8",1.150000,0.700000,0.000000,t_projected_direct,0.1747525914,0.0320000000,,out_of_anchor_band,0.1427525914,0.0160000000,,out_of_anchor_band,33.7302258004|73.0197707662|121.4192254039
2.780000,"4,6,8",1.450000,0.850000,0.000000,t_projected_direct,0.1804682001,0.0320000000,,out_of_anchor_band,0.1484682001,0.0160000000,,out_of_anchor_band,24.0047082086|48.5644008053|84.0759493630
2.780000,"4,6,8",1.400000,0.800000,0.000000,t_projected_direct,0.1810353664,0.0320000000,,out_of_anchor_band,0.1490353664,0.0160000000,,out_of_anchor_band,25.5607856024|29.7802659476|90.1343440505
2.780000,"4,6,8",1.200000,0.650000,0.000000,t_projected_direct,0.1961746837,0.0320000000,,out_of_anchor_band,0.1641746837,0.0160000000,,out_of_anchor_band,38.3392118621|78.0528247230|133.1297748087
2.780000,"4,6,8",1.350000,0.750000,0.000000,t_projected_direct,0.1974014099,0.0320000000,,out_of_anchor_band,0.1654014099,0.0160000000,,out_of_anchor_band,29.4854934218|61.0232785105|102.8010951543
2.780000,"4,6,8",1.100000,0.850000,0.000000,t_projected_direct,0.1987586981,0.0320000000,,out_of_anchor_band,0.1667586981,0.0160000000,,out_of_anchor_band,29.6643044442|58.6930852623|102.7228192470
2.780000,"4,6,8",1.300000,0.800000,0.000000,t_projected_direct,0.2001202019,0.0320000000,,out_of_anchor_band,0.1681202019,0.0160000000,,out_of_anchor_band,27.5694564556|57.1999351979|95.9961550585
2.780000,"4,6,8",1.300000,0.700000,0.000000,t_projected_direct,0.2032946889,0.0320000000,,out_of_anchor_band,0.1712946889,0.0160000000,,out_of_anchor_band,33.4937088465|65.4337747372|114.1098301570
2.780000,"4,6,8",1.150000,0.650000,0.000000,t_projected_direct,0.2038377178,0.0320000000,,out_of_anchor_band,0.1718377178,0.0160000000,,out_of_anchor_band,38.0627309440|80.1519525127|132.8424131970
2.780000,"4,6,8",1.100000,0.800000,0.000000,t_projected_direct,0.2121039800,0.0320000000,,out_of_anchor_band,0.1801039800,0.0160000000,,out_of_anchor_band,31.7849164136|62.6811576393|109.0855168669
2.780000,"4,6,8",1.100000,0.700000,0.000000,t_projected_direct,0.2142068630,0.0320000000,,out_of_anchor_band,0.1822068630,0.0160000000,,out_of_anchor_band,38.1047068385|74.3966857240|127.2555749867
2.780000,"4,6,8",1.200000,0.800000,0.000000,t_projected_direct,0.2174908827,0.0320000000,,out_of_anchor_band,0.1854908827,0.0160000000,,out_of_anchor_band,28.7179672251|63.8386003553|100.6203111780
2.780000,"4,6,8",1.300000,0.650000,0.000000,t_projected_direct,0.2229565144,0.0320000000,,out_of_anchor_band,0.1909565144,0.0160000000,,out_of_anchor_band,35.4851841642|74.0818242260|122.1102539947
2.780000,"4,6,8",1.400000,0.850000,0.000000,t_projected_direct,0.2362627748,0.0320000000,,out_of_anchor_band,0.2042627748,0.0160000000,,out_of_anchor_band,23.0633290197|52.3850362535|81.0448885981
2.780000,"4,6,8",1.350000,0.850000,0.000000,t_projected_direct,0.2458792778,0.0320000000,,out_of_anchor_band,0.2138792778,0.0160000000,,out_of_anchor_band,26.1833778542|52.7050845122|88.1409364630
2.780000,"4,6,8",1.200000,0.700000,0.000000,t_projected_direct,0.2495763990,0.0320000000,,out_of_anchor_band,0.2175763990,0.0160000000,,out_of_anchor_band,36.4205914046|72.9614766257|122.0403222188
2.780000,"4,6,8",1.450000,0.800000,0.000000,t_projected_direct,0.2505792396,0.0320000000,,out_of_anchor_band,0.2185792396,0.0160000000,,out_of_anchor_band,26.5815022390|46.6287624484|86.0279342587
2.780000,"4,6,8",1.250000,0.800000,0.000000,t_projected_direct,0.2527956906,0.0320000000,,out_of_anchor_band,0.2207956906,0.0160000000,,out_of_anchor_band,29.9965130346|57.3736896434|99.4349518159
