formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.900000,"4,6,8",0.300000,0.650000,0.000000,t_projected_direct,0.0981104083,0.0250000000,,out_of_anchor_band,0.0731104083,0.0150000000,,out_of_anchor_band,0.0374136324|0.0767292101|0.1860010808,True,0.1148199350|0.1609918387|3.6083393347
3.000000,"4,6,8",0.500000,0.500000,0.000000,t_projected_direct,0.2547260274,0.0190000000,,out_of_anchor_band,0.2357260274,0.0130000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0000000000,True,0.0965550252|0.1275862564|0.7498627071
3.000000,"4,6,8",0.700000,0.350000,0.000000,t_projected_direct,-0.3332095367,0.0190000000,,non_physical_eta_proxy,0.3522095367,0.0130000000,,non_physical_eta_proxy,0.0000000000|0.0665558995|0.0000000000,True,0.1088709073|0.1623340664|0.5626556556
2.900000,"4,6,8",0.500000,0.650000,0.000000,t_projected_direct,0.3830915751,0.0250000000,,out_of_anchor_band,0.3580915751,0.0150000000,,out_of_anchor_band,0.0000000000|0.0686637166|0.0000000000,True,0.1017600892|0.1291889105|0.6351645603
3.000000,"4,6,8",0.250000,0.250000,0.000000,t_projected_direct,0.4001361554,0.0190000000,,out_of_anchor_band,0.3811361554,0.0130000000,,out_of_anchor_band,0.0661157432|0.0000000000|0.1364630266,True,0.1227327436|0.1196396495|3.9243483000
2.900000,"4,6,8",0.800000,0.350000,0.000000,t_projected_direct,-0.4926444919,0.0250000000,,non_physical_eta_proxy,0.5176444919,0.0150000000,,non_physical_eta_proxy,0.1020812869|0.0865385858|0.0000000000,True,0.1792383007|0.1607790138|2.0368657392
3.000000,"4,6,8",0.300000,0.350000,0.000000,t_projected_direct,0.5670857404,0.0190000000,,out_of_anchor_band,0.5480857404,0.0130000000,,out_of_anchor_band,0.1001130874|0.0000000000|0.1472809955,True,0.1329700116|0.1230964484|2.2506102459
2.900000,"4,6,8",0.450000,0.350000,0.000000,t_projected_direct,-0.5398143489,0.0250000000,,non_physical_eta_proxy,0.5648143489,0.0150000000,,non_physical_eta_proxy,0.1216529864|0.0000000000|0.0000000000,True,0.1451143097|0.1105887754|1.1758800749
2.900000,"4,6,8",0.250000,0.250000,0.000000,t_projected_direct,-0.5634627620,0.0250000000,,non_physical_eta_proxy,0.5884627620,0.0150000000,,non_physical_eta_proxy,0.0429529224|0.0000000000|0.0000000000,True,0.1033439965|0.4154411524|0.5379916490
2.900000,"4,6,8",0.350000,0.250000,0.000000,t_projected_direct,0.6626156112,0.0250000000,,out_of_anchor_band,0.6376156112,0.0150000000,,out_of_anchor_band,0.1161413333|0.0737572262|0.0000000000,True,0.1427280922|0.1339568505|0.3889667519
2.900000,"4,6,8",0.500000,0.250000,0.000000,t_projected_direct,-0.6498480256,0.0250000000,,non_physical_eta_proxy,0.6748480256,0.0150000000,,non_physical_eta_proxy,0.1137954525|0.0000000000|0.1954910805,True,0.1594341414|0.0924456236|19.8434672782
3.000000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,-0.7048690455,0.0190000000,,non_physical_eta_proxy,0.7238690455,0.0130000000,,non_physical_eta_proxy,0.0774444189|0.1010669132|0.0000000000,True,0.1518841345|0.1609921366|1.8843965204
2.900000,"4,6,8",0.500000,1.000000,0.000000,t_projected_direct,-0.7054423307,0.0250000000,,non_physical_eta_proxy,0.7304423307,0.0150000000,,non_physical_eta_proxy,0.1771714914|0.0543059365|0.0000000000,True,0.2036956893|0.1292342975|1.2365796713
2.900000,"4,6,8",0.800000,1.000000,0.000000,t_projected_direct,-0.8507426966,0.0250000000,,non_physical_eta_proxy,0.8757426966,0.0150000000,,non_physical_eta_proxy,0.0940254597|0.0383821124|0.2162766312,True,0.1678082636|0.1606359612|3.4250619848
2.900000,"4,6,8",0.350000,0.350000,0.000000,t_projected_direct,0.9350878631,0.0250000000,,out_of_anchor_band,0.9100878631,0.0150000000,,out_of_anchor_band,0.0594474938|0.1039100001|0.0790480199,True,0.1081919220|0.1256128611|0.3953582289
3.000000,"4,6,8",0.200000,1.000000,0.000000,t_projected_direct,1.0181802699,0.0190000000,,out_of_anchor_band,0.9991802699,0.0130000000,,out_of_anchor_band,0.1071697169|0.1363360724|0.1232038291,True,0.1617528050|0.1855093634|0.7969812592
3.000000,"4,6,8",0.350000,0.250000,0.000000,t_projected_direct,1.0922237581,0.0190000000,,out_of_anchor_band,1.0732237581,0.0130000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0000000000,True,0.0936819666|0.0757094389|0.2258219704
2.900000,"4,6,8",0.300000,1.000000,0.000000,t_projected_direct,1.0999853216,0.0250000000,,out_of_anchor_band,1.0749853216,0.0150000000,,out_of_anchor_band,0.0000000000|0.1288860955|0.0000000000,True,0.0847760067|0.1816336774|0.1389657440
3.000000,"4,6,8",0.700000,1.000000,0.000000,t_projected_direct,1.1656151061,0.0190000000,,out_of_anchor_band,1.1466151061,0.0130000000,,out_of_anchor_band,0.0860124744|0.1174550130|0.0821172670,True,0.1421794429|0.2665506968|0.2363442363
