formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.780000,"6,8,10,12",1.000000,1.100000,0.000000,t_projected_direct,-0.2113345907,0.0320000000,,non_physical_eta_proxy,0.2433345907,0.0160000000,,non_physical_eta_proxy,0.1116457726|0.0000000000|0.1246686482|0.0000000000,True,0.3138750564|0.2612941863|22.1178264889|0.2311721460
2.780000,"6,8,10,12",1.000000,1.200000,0.000000,t_projected_direct,0.3304472399,0.0320000000,,out_of_anchor_band,0.2984472399,0.0160000000,,out_of_anchor_band,0.0000000000|0.1049230843|0.2606116982|0.0000000000,True,0.2305883776|0.4024026878|19.2545867094|0.3277192309
2.780000,"6,8,10,12",1.100000,1.100000,0.000000,t_projected_direct,-0.3448904637,0.0320000000,,non_physical_eta_proxy,0.3768904637,0.0160000000,,non_physical_eta_proxy,0.0698070642|0.0000000000|0.1018958535|0.1680034584,True,0.3820850422|0.1716592832|0.3902672471|4.4738586690
2.780000,"6,8,10,12",1.050000,1.000000,0.000000,t_projected_direct,0.4804544814,0.0320000000,,out_of_anchor_band,0.4484544814,0.0160000000,,out_of_anchor_band,0.0914287200|0.0000000000|0.0485218181|0.1833521251,True,0.2674830041|0.2454885403|0.3103242363|5.6473551087
2.780000,"6,8,10,12",1.000000,0.800000,0.000000,t_projected_direct,0.5190971679,0.0320000000,,out_of_anchor_band,0.4870971679,0.0160000000,,out_of_anchor_band,0.0958433074|0.0731105315|0.1040502825|0.0000000000,True,0.2574741677|0.2528166086|0.2843309596|0.8865934052
2.780000,"6,8,10,12",0.800000,1.000000,0.000000,t_projected_direct,0.5784957530,0.0320000000,,out_of_anchor_band,0.5464957530,0.0160000000,,out_of_anchor_band,0.0439577989|0.1274934340|0.0000000000|0.0000000000,True,0.2030444712|0.3471325776|0.1863335106|0.8859517491
2.780000,"6,8,10,12",0.900000,1.100000,0.000000,t_projected_direct,-0.6686562832,0.0320000000,,non_physical_eta_proxy,0.7006562832,0.0160000000,,non_physical_eta_proxy,0.1301638411|0.0000000000|0.0000000000|0.1577386503,True,0.3279234960|0.2039860136|0.2322996807|7.3406001198
2.780000,"6,8,10,12",1.100000,0.950000,0.000000,t_projected_direct,1.0127905131,0.0320000000,,out_of_anchor_band,0.9807905131,0.0160000000,,out_of_anchor_band,0.0000000000|0.1142824930|0.0668534901|0.0000000000,True,0.1957360415|0.3721195029|0.3757072353|0.3803666510
2.780000,"6,8,10,12",1.200000,1.200000,0.000000,t_projected_direct,1.0519514440,0.0320000000,,out_of_anchor_band,1.0199514440,0.0160000000,,out_of_anchor_band,0.0200696498|0.0000000000|0.0577063790|0.1946202600,True,0.2791166824|0.3575109875|0.3712338349|1.3764004243
2.780000,"6,8,10,12",1.050000,1.050000,0.000000,t_projected_direct,1.0773164298,0.0320000000,,out_of_anchor_band,1.0453164298,0.0160000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0712672336|0.0471713138,True,0.1890250179|0.2163456420|0.3079891075|0.3552281453
2.780000,"6,8,10,12",1.100000,1.200000,0.000000,t_projected_direct,1.0897736409,0.0320000000,,out_of_anchor_band,1.0577736409,0.0160000000,,out_of_anchor_band,0.0788447305|0.0000000000|0.0290947268|0.1620875722,True,0.2755649515|0.2551956017|0.3177664610|1.6530898057
2.780000,"6,8,10,12",1.200000,0.950000,0.000000,t_projected_direct,1.1458297855,0.0320000000,,out_of_anchor_band,1.1138297855,0.0160000000,,out_of_anchor_band,0.0012814604|0.0581317649|0.0372958940|0.1093548328,True,0.2330352539|0.2844543938|0.3142269056|0.4805816292
2.780000,"6,8,10,12",1.050000,0.950000,0.000000,t_projected_direct,-1.1239779819,0.0320000000,,non_physical_eta_proxy,1.1559779819,0.0160000000,,non_physical_eta_proxy,0.1305860472|0.2807619646|0.0000000000|0.1029428298,True,0.3933831522|9.0954517128|6.3289950445|0.6984410783
2.780000,"6,8,10,12",0.950000,1.050000,0.000000,t_projected_direct,1.2030356009,0.0320000000,,out_of_anchor_band,1.1710356009,0.0160000000,,out_of_anchor_band,0.0000000000|0.1060041416|0.0000000000|0.0678987053,True,0.2096435557|0.3606751771|0.2356028469|0.9973284779
