model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,binder,0.6617328119,0.0007450141,2.8995058741,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,xi_over_L,0.0000000000,0.0334586841,2.8995058741,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,susceptibility,0.2305883776,0.0344530498,2.8995058741,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,magnetization_abs,1.3049677831,0.0124665275,2.8995058741,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,acceptance_rate,0.5296296296,0.0053489664,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,binder,0.6617275476,0.0009818556,5.9567445581,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,xi_over_L,0.1049230843,0.0417594175,5.9567445581,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,susceptibility,0.4024026878,0.0723637261,5.9567445581,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,magnetization_abs,1.2794075309,0.0177035754,5.9567445581,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,acceptance_rate,0.5400390625,0.0047524203,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,binder,0.5323948560,0.0414280622,43.0565885052,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,xi_over_L,0.2606116982,0.0352410565,43.0565885052,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,susceptibility,19.2545867094,4.2072339426,43.0565885052,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,magnetization_abs,0.9251919161,0.2605856134,43.0565885052,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,acceptance_rate,0.5690833333,0.0188752548,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.200,binder,0.6648256531,0.0003041950,4.3183052877,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.200,xi_over_L,0.0000000000,0.0033955630,4.3183052877,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.200,susceptibility,0.3277192309,0.0502276294,4.3183052877,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.200,magnetization_abs,1.2804651950,0.0090686457,4.3183052877,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.200,acceptance_rate,0.5370370370,0.0029943359,0.5000000000,171,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,per_n,path
