model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source
t_projected_direct_phi4_metropolis,fractional_proxy,4,n3.00_m1.500_lam0.500,binder,0.6638179003,0.0005337716,2.3546585080,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n3.00_m1.500_lam0.500,xi_over_L,0.0338214022,0.0352146281,2.3546585080,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n3.00_m1.500_lam0.500,susceptibility,0.1523857193,0.0303524353,2.3546585080,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n3.00_m1.500_lam0.500,magnetization_abs,2.1016539765,0.0167954848,2.3546585080,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n3.00_m1.500_lam0.500,acceptance_rate,0.5195312500,0.0099469699,0.5000000000,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n3.00_m1.500_lam0.500,binder,0.6645722582,0.0004076064,6.7637995840,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n3.00_m1.500_lam0.500,xi_over_L,0.1007532866,0.0379740435,6.7637995840,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n3.00_m1.500_lam0.500,susceptibility,0.2609914592,0.0524204897,6.7637995840,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n3.00_m1.500_lam0.500,magnetization_abs,2.1532852692,0.0248355452,6.7637995840,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n3.00_m1.500_lam0.500,acceptance_rate,0.5222222222,0.0059814479,0.5000000000,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n3.00_m1.500_lam0.500,binder,0.6653685106,0.0002535318,3.8637435966,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n3.00_m1.500_lam0.500,xi_over_L,0.0917778537,0.0463463261,3.8637435966,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n3.00_m1.500_lam0.500,susceptibility,0.2976974795,0.0590919416,3.8637435966,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n3.00_m1.500_lam0.500,magnetization_abs,2.1799202267,0.0150355104,3.8637435966,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n3.00_m1.500_lam0.500,acceptance_rate,0.5147460938,0.0047736106,0.5000000000,41,3.000000,2.000000,1.000000,0.000000,0.000000,t_projected_direct,1.500000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.90_m0.430_lam0.600,binder,0.6648182410,0.0002689882,1.8066021703,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.90_m0.430_lam0.600,xi_over_L,0.0000000000,0.0344385473,1.8066021703,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
