model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,binder,0.6622387106,0.0004289174,0.5794198938,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,xi_over_L,0.0915366392,0.0237824568,0.5794198938,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,susceptibility,0.2697739124,0.0259319151,0.5794198938,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,magnetization_abs,1.4989414374,0.0060278366,0.5794198938,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,acceptance_rate,0.5207175926,0.0013742881,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,binder,0.6640161761,0.0002502262,0.5722900245,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,xi_over_L,0.0919677040,0.0210243048,0.5722900245,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,susceptibility,0.2895107410,0.0271097799,0.5722900245,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,magnetization_abs,1.4917410716,0.0046544298,0.5722900245,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,acceptance_rate,0.5420214844,0.0009939245,0.5000000000,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
