model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,binder,0.6617265633,0.0004264446,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,xi_over_L,0.0916536810,0.0231852879,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,susceptibility,0.2958623721,0.0284143063,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,magnetization_abs,1.4585572311,0.0061484977,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,acceptance_rate,0.5247164352,0.0014336808,0.5000000000,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,binder,0.6637601205,0.0002299630,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,xi_over_L,0.0639788297,0.0293047783,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,susceptibility,0.2977493296,0.0228587770,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,magnetization_abs,1.4559603839,0.0044120097,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,acceptance_rate,0.5209733073,0.0011329717,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
