formal_n,coupling_id,eta_estimator,anchor_method,eta_proxy,eta_anchor,gamma_anchor,transfer_factor_raw,transfer_factor_median,transfer_factor_cv,transfer_stability_pass,eta_transfer_corrected,gamma_phi_transfer_corrected,target_ratio_transfer,status_transfer
2.780000,n2.78_m1.000_lam1.000,chi_connected,de2,2.0279973965,0.0320000000,0.4620000000,63.3749186406,63.3749186406,0.0630325763,True,0.0320000000,0.4620000000,0.5372093023,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.050,chi_connected,de2,1.9354738290,0.0320000000,0.4620000000,60.4835571563,63.3749186406,0.0630325763,True,0.0305400602,0.4409221188,0.5127001381,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.100,chi_connected,de2,2.1538979090,0.0320000000,0.4620000000,67.3093096562,63.3749186406,0.0630325763,True,0.0339865984,0.4906815145,0.5705599006,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.200,chi_connected,de2,2.2138556839,0.0320000000,0.4620000000,69.1829901219,63.3749186406,0.0630325763,True,0.0349326789,0.5043405518,0.5864425021,stable_transfer_candidate
2.780000,n2.78_m1.050_lam1.150,chi_connected,de2,1.8713378306,0.0320000000,0.4620000000,58.4793072062,63.3749186406,0.0630325763,True,0.0295280510,0.4263112365,0.4957107401,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.000,kmin_structure,de2,1.7112077892,0.0320000000,0.4620000000,53.4752434125,53.7929295156,0.0293975475,True,0.0318110169,0.4592715563,0.5340366934,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.050,kmin_structure,de2,1.8330390265,0.0320000000,0.4620000000,57.2824695781,53.7929295156,0.0293975475,True,0.0340758357,0.4919698775,0.5720579971,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.100,kmin_structure,de2,1.6840673577,0.0320000000,0.4620000000,52.6271049281,53.7929295156,0.0293975475,True,0.0313064816,0.4519873280,0.5255666605,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.200,kmin_structure,de2,1.7213737445,0.0320000000,0.4620000000,53.7929295156,53.7929295156,0.0293975475,True,0.0320000000,0.4620000000,0.5372093023,stable_transfer_candidate
2.780000,n2.78_m1.050_lam1.150,kmin_structure,de2,1.7274386716,0.0320000000,0.4620000000,53.9824584875,53.7929295156,0.0293975475,True,0.0321127458,0.4636277675,0.5391020553,stable_transfer_candidate
