formal_n,coupling_id,eta_estimator,source_observable,fit_method,sizes,eta_proxy,eta_stderr,eta_anchor_lpa,gamma_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,eta_anchor_de2,gamma_anchor_de2,gamma_phi_proxy_de2,status_de2,target_ratio_lpa,target_ratio_de2
2.780000,n2.78_m1.000_lam1.000,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.0279973965,0.1739378134,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.000,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7112077892,0.1017878798,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.050,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",1.9354738290,0.1748768054,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.050,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.8330390265,0.0808910213,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.100,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.1538979090,0.1861219119,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.100,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.6840673577,0.0988169672,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.200,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.2138556839,0.1521729967,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.200,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7213737445,0.0783649617,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.050_lam1.150,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",1.8713378306,0.1790937647,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.050_lam1.150,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7274386716,0.0885141521,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.450,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",1.8598264838,0.1771635794,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.450,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.8929329646,0.0800244293,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.500,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",0.8863734297,0.1606526505,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.500,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7075738882,0.0937537728,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.550,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",1.7007838996,0.1913066230,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.550,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.8705007158,0.0888976110,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.600,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.1051887703,0.1776785645,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.600,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.6985798053,0.0785500917,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
2.900000,n2.90_m0.430_lam0.650,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.2208265746,0.1575961435,0.0150000000,0.3530000000,,out_of_anchor_band,0.0250000000,0.3670000000,,out_of_anchor_band,,
