surface_id,topology_proxy_kind,surface_selector,formal_n,lambda_like,crossing_support,observables_supported,size_pairs_supported,mean_crossing_mass,crossing_mass_scatter,selected_mass_like,selected_coupling_id,binder_values,xi_values,susceptibility_values,run_seeds,invariant_support,invariant_score,xi_span,binder_span
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,1.100000,5,xi_over_L,6-8|8-10,1.0098500052,0.0654300230,1.000000,n2.78_m1.000_lam1.100,0.6600755326|0.6630253201|0.6649076305,0.1201389521|0.0996355596|0.0000000000,0.3419943915|0.3386196702|0.2512863948,4937|5199|5461,,,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,1.150000,4,xi_over_L,6-8|8-10,1.0479675377,0.0372918183,1.050000,n2.78_m1.050_lam1.150,0.6599430254|0.6629172547|0.6640269388,0.0058469958|0.0518409284|0.0719015253,0.3157955057|0.3189394094|0.3437092171,4992|5254|5516,,,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,1.200000,4,xi_over_L,6-8|8-10,0.9833609559,0.0632896644,1.000000,n2.78_m1.000_lam1.200,0.6607392433|0.6619386695|0.6638348435,0.0562848607|0.0849897328|0.0845083021,0.2719784749|0.3857032095|0.3606620551,5037|5299|5561,,,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,1.050000,4,xi_over_L,6-8,1.0015049768,0.0680502903,1.000000,n2.78_m1.000_lam1.050,0.6596387627|0.6633426251|0.6648503541,0.1139227982|0.0768661362|0.0000000000,0.3740451012|0.3236973240|0.2698541926,4887|5149|5411,,,,
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,1.000000,3,xi_over_L,6-8|8-10,1.0352869397,0.0691093811,1.050000,n2.78_m1.050_lam1.000,0.6608574271|0.6641551817|0.6646091178,0.1074762245|0.0000000000|0.0925736001,0.3343673321|0.2502482003|0.3169068667,4842|5104|5366,,,,
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,1.150000,0,,,,,1.000000,n2.78_m1.000_lam1.150,0.6598796270|0.6630656256|0.6639639116,0.0907873495|0.0847051318|0.0709883899,0.3270034605|0.3150384932|0.3705011754,,3,0.0100331987,0.0197989596,0.0040842846
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,1.200000,0,,,,,1.000000,n2.78_m1.000_lam1.200,0.6607392433|0.6619386695|0.6638348435,0.0562848607|0.0849897328|0.0845083021,0.2719784749|0.3857032095|0.3606620551,,3,0.0146939707,0.0287048721,0.0030956002
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,1.000000,0,,,,,0.950000,n2.78_m0.950_lam1.000,0.6621795753|0.6642539946|0.6650704559,0.0843740396|0.0248628631|0.0406699093,0.2667666436|0.2541860753|0.2617449542,,3,0.0263862851,0.0595111765,0.0028908806
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,1.100000,0,,,,,0.950000,n2.78_m0.950_lam1.100,0.6604265468|0.6637810686|0.6646419179,0.0939096617|0.0223995380|0.0776426732,0.3307127496|0.2694569401|0.2939195366,,3,0.0324237453,0.0715101237,0.0042153711
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,1.050000,0,,,,,1.050000,n2.78_m1.050_lam1.050,0.6615645464|0.6626103366|0.6645760442,0.0418183189|0.1292939273|0.0639058124,0.2744361534|0.3898426648|0.3098742317,,3,0.0383899510,0.0874756084,0.0030114978
