model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,binder,0.6620011837,0.0005492521,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,xi_over_L,0.1006937427,0.0302788787,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,susceptibility,0.2907174228,0.0361177110,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,structure_factor_kmin,0.2194324080,0.0177620523,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,magnetization_abs,1.4962564021,0.0082377916,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.000,acceptance_rate,0.5504745370,0.0017508514,0.5000000000,4827,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,binder,0.6640952851,0.0004092447,0.6395144179,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,xi_over_L,0.0497554738,0.0408097169,0.6395144179,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,susceptibility,0.2720451054,0.0412568422,0.6395144179,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,structure_factor_kmin,0.2512881773,0.0156317557,0.6395144179,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,magnetization_abs,1.4877333256,0.0067592290,0.6395144179,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.000,acceptance_rate,0.5404752604,0.0014010947,0.5000000000,5089,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.000,binder,0.6653167968,0.0001630105,0.5587509617,5351,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.000,xi_over_L,0.0000000000,0.0149064886,0.5587509617,5351,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.000,susceptibility,0.2276576840,0.0306826765,0.5587509617,5351,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
