model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order,surface_id,topology_proxy_kind,surface_selector
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.050,binder,0.6596387627,0.0007624801,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.050,xi_over_L,0.1139227982,0.0235493220,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.050,susceptibility,0.3740451012,0.0332009958,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.050,structure_factor_kmin,0.2641882238,0.0221987176,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.050,magnetization_abs,1.3958947002,0.0093440952,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.050,acceptance_rate,0.5185763889,0.0021203311,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.050,binder,0.6633426251,0.0004585595,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.050,xi_over_L,0.0768661362,0.0391148989,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.050,susceptibility,0.3236973240,0.0429139969,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.050,structure_factor_kmin,0.2703917288,0.0203763152,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.050,magnetization_abs,1.4037275278,0.0065193769,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.050,acceptance_rate,0.5153580729,0.0018742612,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.050,binder,0.6648503541,0.0002370081,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.770849,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.050,xi_over_L,0.0000000000,0.0151384132,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.770849,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.050,susceptibility,0.2698541926,0.0333782044,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.770849,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.050,structure_factor_kmin,0.3074992501,0.0195577117,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.770849,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.050,magnetization_abs,1.4120024412,0.0047620188,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.770849,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.050,acceptance_rate,0.4823333333,0.0011675217,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.770849,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
