surface_id,topology_proxy_kind,surface_selector,formal_n,coupling_id,eta_estimator,anchor_method,eta_proxy,eta_anchor,gamma_anchor,transfer_factor_raw,transfer_factor_median,transfer_factor_cv,transfer_stability_pass,eta_transfer_corrected,gamma_phi_transfer_corrected,target_ratio_transfer,status_transfer
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.050,chi_connected,de2,2.6225144191,0.0320000000,0.4620000000,81.9535755969,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.100,chi_connected,de2,2.5350113409,0.0320000000,0.4620000000,79.2191044031,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.200,chi_connected,de2,1.5150554396,0.0320000000,0.4620000000,47.3454824875,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.000,chi_connected,de2,2.1792963307,0.0320000000,0.4620000000,68.1030103344,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.150,chi_connected,de2,1.8199196570,0.0320000000,0.4620000000,56.8724892812,68.1030103344,0.1969193398,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.050,kmin_structure,de2,1.6909852690,0.0320000000,0.4620000000,52.8432896563,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.100,kmin_structure,de2,1.5844017083,0.0320000000,0.4620000000,49.5125533844,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.000_lam1.200,kmin_structure,de2,1.5843386205,0.0320000000,0.4620000000,49.5105818906,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.000,kmin_structure,de2,2.0184147882,0.0320000000,0.4620000000,63.0754621312,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_crossing,t_projected_direct,crossing,2.780000,n2.78_direct_crossing::n2.78_m1.050_lam1.150,kmin_structure,de2,2.1307054514,0.0320000000,0.4620000000,66.5845453562,52.8432896563,0.1270311516,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.000,chi_connected,de2,2.0453428158,0.0320000000,0.4620000000,63.9169629938,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.100,chi_connected,de2,2.2293504357,0.0320000000,0.4620000000,69.6672011156,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.150,chi_connected,de2,1.8608937680,0.0320000000,0.4620000000,58.1529302500,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.200,chi_connected,de2,1.5150554396,0.0320000000,0.4620000000,47.3454824875,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.050_lam1.050,chi_connected,de2,1.8088054595,0.0320000000,0.4620000000,56.5251706094,58.1529302500,0.1267020239,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.000,kmin_structure,de2,1.7367791523,0.0320000000,0.4620000000,54.2743485094,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m0.950_lam1.100,kmin_structure,de2,2.1186940480,0.0320000000,0.4620000000,66.2091890000,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.150,kmin_structure,de2,1.6373120477,0.0320000000,0.4620000000,51.1660014906,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
n2.78_direct_rg_invariant,t_projected_direct,rg_invariant,2.780000,n2.78_direct_rg_invariant::n2.78_m1.000_lam1.200,kmin_structure,de2,1.5843386205,0.0320000000,0.4620000000,49.5105818906,54.2743485094,0.1109264482,False,,,,unstable_transfer_candidate
